FID_hru_pa,ORIG_FID,HRU_ID,HRUTYPE_IN,HRU_ROW,HRU_COL,HRU_X,HRU_Y,X,Y,Unique_ID,Lay1_Zn,Lay2_Zn,Lay3_Zn
88461,88280,44839,1,111,179,613350,4036950,613376.00,4036930.00,256,0,4,10
109756,109747,23270,1,58,128,608250,4042250,608251.00,4042230.00,485,1,3,10
109757,109748,23271,1,58,129,608350,4042250,608377.00,4042220.00,412,1,3,10
105344,109329,23664,1,59,116,607050,4042150,607063.00,4042100.00,464,1,3,10
105345,109333,23668,1,59,120,607450,4042150,607482.00,4042200.00,462,1,3,10
96475,95995,37126,1,92,180,613450,4038850,613479.00,4038830.00,261,0,2,10
99343,99241,33876,1,84,178,613250,4039650,613259.00,4039650.00,262,0,5,10
93051,92762,40389,1,100,195,614950,4038050,614993.00,4038090.00,263,0,6,10
109376,109340,23675,1,59,127,608150,4042150,608195.00,4042120.00,484,1,3,10
94134,93975,39166,1,97,190,614450,4038350,614461.00,4038380.00,265,0,6,10
94485,94383,38762,1,96,192,614650,4038450,614684.00,4038450.00,266,0,6,10
93782,93582,39585,1,98,203,615750,4038250,615764.00,4038270.00,267,0,6,10
81078,80592,52579,1,130,205,615950,4035050,615960.00,4035060.00,268,0,2,10
109379,109343,23678,1,59,130,608450,4042150,608420.00,4042130.00,406,1,3,10
79801,79775,53386,1,132,200,615450,4034850,615482.00,4034880.00,270,0,2,10
79807,79781,53392,1,132,206,616050,4034850,616016.00,4034820.00,271,0,2,10
109380,109344,23679,1,59,131,608550,4042150,608562.00,4042110.00,407,1,3,10
108993,108933,24080,1,60,126,608050,4042050,608008.00,4042060.00,460,1,3,10
87361,87067,46062,1,114,184,613850,4036650,613858.00,4036630.00,274,0,4,10
81431,80993,52168,1,129,200,615450,4035150,615454.00,4035160.00,275,0,2,10
82889,82608,50535,1,125,191,614550,4035550,614508.00,4035530.00,276,0,2,10
108998,108940,24087,1,60,133,608750,4042050,608754.00,4042060.00,401,1,3,10
105327,108943,24090,1,60,136,609050,4042050,609017.00,4042100.00,437,1,2,10
85888,85468,47711,1,118,209,616350,4036250,616333.00,4036270.00,279,0,5,10
81811,81402,51765,1,128,203,615750,4035250,615756.00,4035220.00,280,0,2,10
82546,82214,50953,1,126,203,615750,4035450,615763.00,4035450.00,281,0,2,10
105294,108459,24418,1,61,58,601250,4041950,601284.00,4041970.00,638,1,4,10
82190,81812,51363,1,127,207,616150,4035350,616187.00,4035380.00,283,0,6,10
81075,80589,52576,1,130,202,615650,4035050,615699.00,4035030.00,284,0,2,10
82183,81804,51355,1,127,199,615350,4035350,615346.00,4035340.00,285,0,2,10
105303,108530,24489,1,61,129,608350,4041950,608366.00,4041950.00,399,1,3,10
84325,84245,48924,1,121,204,615850,4035950,615844.00,4035940.00,287,0,2,10
82184,81805,51356,1,127,200,615450,4035350,615470.00,4035310.00,288,0,2,10
82545,82213,50952,1,126,202,615650,4035450,615655.00,4035410.00,289,0,2,10
108612,108533,24492,1,61,132,608650,4041950,608655.00,4041960.00,404,1,3,10
108614,108535,24494,1,61,134,608850,4041950,608852.00,4041960.00,396,1,3,10
86999,86680,46487,1,115,203,615750,4036550,615785.00,4036560.00,292,0,2,10
88490,88314,44873,1,111,213,616750,4036950,616710.00,4036980.00,293,0,6,10
105306,108537,24496,1,61,136,609050,4041950,609077.00,4041920.00,402,1,3,10
105274,108126,24897,1,62,131,608550,4041850,608571.00,4041900.00,403,1,3,10
105280,108133,24904,1,62,138,609250,4041850,609269.00,4041880.00,448,1,4,10
91221,90707,42394,1,105,170,612450,4037550,612430.00,4037560.00,297,0,2,10
86263,85877,47308,1,117,212,616650,4036350,616676.00,4036370.00,298,0,6,10
73077,72846,60261,1,149,173,612750,4033150,612771.00,4033140.00,299,0,2,10
