Basin_Subbasin ID   ,   Type  ,       Gauge             ,  Statistic  ,     Daily    ,    Monthly   ,   Yearly    
           6 , sub_cfs , NearCarmel(USGS) , PBias TrLam  , 63.362646 , 56.778897 , 22.179457
           6 , sub_cfs , NearCarmel(USGS) , NSE          , 0.501041 , 0.716910 , 0.814951
           6 , sub_cfs , NearCarmel(USGS) , NSE Log10    ,    NaN ,    NaN ,    NaN
           6 , sub_cfs , NearCarmel(USGS) , NSE TrLam    , 0.580375 , 0.624717 , 0.708147
           6 , sub_cfs , NearCarmel(USGS) , MSE FDC      , 5420.984942 , 2033.877712 , 1835.463020
           6 , sub_cfs , NearCarmel(USGS) , MSE FDCLog10 ,    NaN ,    NaN ,    NaN
           6 , sub_cfs , NearCarmel(USGS) , MSE FDCTrLam , 1.548606 , 1.478060 , 0.598425
           6 , sub_cfs , NearCarmel(USGS) , QPCorr       , 0.208718 , 0.149450 , 0.084676
           6 , sub_cfs , NearCarmel(USGS) , MaxAbs PBias , 1586.433168 , 1411.205932 , 1424.837516
           6 , sub_cfs , NearCarmel(USGS) , MaxAbsPBiasL , 15788.135927 , 144.431104 , 80.857839
           6 , sub_cfs , NearCarmel(USGS) , Pct Mean Dif , 51.295658 , 50.571213 , 51.148825
           6 , sub_cfs , NearCarmel(USGS) , Pct Var Diff , 31.092496 , -13.263862 , -41.614074
           6 , sub_cfs , NearCarmel(USGS) , Pct L10MeanD ,    NaN ,    NaN ,    NaN
           6 , sub_cfs , NearCarmel(USGS) , Pct L10VarDf ,    NaN ,    NaN ,    NaN
           6 , sub_cfs , NearCarmel(USGS) , Pct LTrMeanD , 63.362646 , 56.778897 , 22.179457
           6 , sub_cfs , NearCarmel(USGS) , Pct LTrVarDf , -68.893872 , -70.902638 , -72.234170
           7 , sub_cfs , Carmel River at Lagoon , MSE          , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , MSE Log10    , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , MSE TrLam    , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , PBias        , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , PBias Log10  , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , PBias TrLam  , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , NSE          , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , NSE Log10    , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , NSE TrLam    , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , MSE FDC      , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , MSE FDCLog10 , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , MSE FDCTrLam , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , QPCorr       , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , MaxAbs PBias , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , MaxAbsPBiasL , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , Pct Mean Dif , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , Pct Var Diff , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , Pct L10MeanD , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , Pct L10VarDf , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , Pct LTrMeanD , 0.000000 , 0.000000 , 0.000000
           7 , sub_cfs , Carmel River at Lagoon , Pct LTrVarDf , 0.000000 , 0.000000 , 0.000000
           8 , sub_cfs , AboveLosPadresReservoir , MSE          , 195804.114555 , 69309.397348 , 16802.736994
           8 , sub_cfs , AboveLosPadresReservoir , MSE Log10    , 0.199619 , 0.149203 , 0.089178
           8 , sub_cfs , AboveLosPadresReservoir , MSE TrLam    , 22.889105 , 16.469412 , 10.745205
           8 , sub_cfs , AboveLosPadresReservoir , PBias        , -50.517591 , -48.690376 , -49.085231
           8 , sub_cfs , AboveLosPadresReservoir , PBias Log10  , -15.960896 , -12.575915 , -13.136583
           8 , sub_cfs , AboveLosPadresReservoir , PBias TrLam  , -19.208866 , -16.159909 , -17.212043
           8 , sub_cfs , AboveLosPadresReservoir , NSE          , 0.254768 , 0.324384 , -190.807304
           8 , sub_cfs , AboveLosPadresReservoir , NSE Log10    , 0.145730 , 0.239071 , -786.218766
